travel_id,lodging_nm,lodging_payment_seq,lodging_type_cd,rsvt_yn,chk_in_dt_min,chk_out_dt_min,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc
h_h004143,바다와자전거,0,7,N,,,2,,,제주특별자치도 제주시 애월읍 고내로9길 42,제주특별자치도 제주시 애월읍 고내리 1123-1,,,,5,25000,
h_h000019,바당1807,0,7,Y,,,1,,,제주특별자치도 제주시 애월읍 하귀미수포길 5-2,제주특별자치도 제주시 애월읍 하귀2리 1807,,,,5,30000,
h_h002006,로긴리조트&호텔,2,4,Y,,,4,,주식회사로긴,제주특별자치도 제주시 서해안로 442-11,제주특별자치도 제주시 용담삼동 2389,3349093,5011011000,2023-07-08 21:00:00,1,30000,숙박비
h_h000653,골든튤립제주성산호텔,0,1,Y,,,2,,,제주특별자치도 서귀포시 성산읍 일출로 31,제주특별자치도 서귀포시 성산읍 고성리 329-1,,,,1,32000,
h_h000496,베드라디오 동문점,0,7,Y,,,3,,요기올레,제주특별자치도 제주시 중앙로1길 41-1,제주특별자치도 제주시 건입동 1322,,,,5,33000,
h_h000222,호텔휴식 서귀포,0,1,Y,,,2,,,제주특별자치도 서귀포시 중앙로71번길 17,제주특별자치도 서귀포시 서귀동 308-2,,,,1,35000,
h_h000531,안녕애월,0,7,Y,,,2,,,제주특별자치도 제주시 애월읍 금성1길 26,제주특별자치도 제주시 애월읍 금성리 499,,,,5,35000,
h_h000628,애몽게스트하우스,0,7,Y,,,1,,,제주특별자치도 제주시 애월읍 고내5길 36,제주특별자치도 제주시 애월읍 고내리 960-1,,,,5,35000,
h_h001977,수수민박,0,7,Y,,,1,,,제주특별자치도 서귀포시 색달로81번길 61,제주특별자치도 서귀포시 색달동 2036,,,,5,35000,
h_h002199,뉴맨하탄관광호텔,1,1,Y,,,2,,㈜여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-07-14 07:57:00,1,35000,[도보전용]이벤트객실-숙박비
h_h004300,메종글래드제주,3,1,Y,,,1,,글래드 호텔앤리조트(주)메종글래드 제주,제주특별자치도 제주시 노연로 80,제주특별자치도 제주시 연동 263-15,3349041,5011013700,2023-08-29 10:54:00,1,35000,숙박비
h_h000055,모들공간,0,7,Y,,,1,,,제주특별자치도 제주시 구좌읍 월정1길 66-5,제주특별자치도 제주시 구좌읍 월정리 561,,,,5,40000,
