travel_id,adv_nm,adv_seq,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc,sgg_cd
h_h000846,라면.가스,0,1,,청어람마트,602-1,,,,,3,20000,,4833010200
h_h001789,아쿠아슈즈,0,1,,다이소,361-1,,,,,1,4000,,2620012100
h_h002779,여행 가방; 여행 수첩,0,1,,다이소 상일동점,다이소 상일동점,,,,,1,11000,,1174010300
h_h002140,차량용 거치대; 차량용 고속 충전기,0,1,,주식회사 아성 다이소,애플아울렛 3층,,,,,1,11000,,2653010400
h_h001610,스노쿨링장비;모자,0,1,,다이소중화산점,서원로335,,,,,1,10000,,4511112700
h_h000832,옷과 캐리어,2,1,1357700064,Style 21번가,광주 광산구 임방울대로 318,광주 광산구 수완동 1482,2009005,2920011400,2023-06-06 18:41:00,1,11000,샌드30t/아이,
h_h000478,영양밥(이동식),0,1,,빅마마수제영양밥,엘지로55-43,,,,,3,13000,,4122031000
h_h000914,옷,2,3,1040148899,토니,서울 중구 남대문시장8길 16,서울 중구 남창동 46-3,4103022,1114011200,2023-06-09 13:37:00,1,22000,,
h_h002474,햇빈 및 래토르트 식품류,1,4,2138152063,(주)아성다이소,경남 창원시 마산회원구 내서읍 중리공단로 13,경남 창원시 마산회원구 내서읍 원계리 400-24,3330024,4812725027,2023-07-27 20:16:00,1,20000,햇반;오뚜기3분김치참치덮밥소스;오뚜기3분쇠고기카레;오뚜기옛날육개장,
h_h000108,식당예약금,1,1,4300102263,단백,제주특별자치도 서귀포시 성산읍 성산중앙로 17,제주특별자치도 서귀포시 성산읍 성산리 164-11,3350155,5013025921,2023-06-05 00:05:00,1,22000,,
h_h006332,가스 충전비 (주유비),0,2,,GS칼텍스 대홍충전소,1706,,,,,1,32540,,5013010500
h_h000028,삼다수 물 2L,0,3,,GS편의점,오복 5길 5 gs편의점,,,,,3,1500,,5011010400
h_h000037,마음샌드,0,2,,파리바게뜨 제주공항렌트카하우스점,공항로2 제주국제공항 렌트카하우스,,,,,1,48000,,5011010900
h_h000043,아기 이유식 인터넷구매,0,1,,짱죽,238-2,,,,,1,51200,,4617013000
h_h000055,등산스틱,0,1,,당근구매,,,,,,5,45000,,1121510300
h_h000069,제주투어패스,1,2,2118841856,주식회사티몬,서울 강남구 테헤란로 114,서울 강남구 역삼동 824,3122010,1168010100,2023-05-11 00:00:00,1,20900,"[여행박람회]제주투어패스 제주여행 프리패스권,48시간/72시간/120시간 이용권",
h_h000069,제주투어패스,2,2,2118841856,㈜티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2023-05-10 00:00:00,1,20900,[여행박람회]제주투어패스 제주여행 프리패스권,
h_h000076,비키니,1,1,1208800767,(주)쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-05-20 00:00:00,1,22900,헤링본 도로시 홀터넥 섹시 스트랩 볼륨업 비키니 수영복 호캉스 휴양지 비치웨어,
h_h000076,비키니,2,1,1208800767,쿠팡,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-05-22 00:00:00,1,22100,"하운드 체크 모노키니 2 피스 스트랩 수영복, 블랙L",
h_h000080,우도전동차 렌트,1,1,2281161974,우도전동차렌트,제주특별자치도 제주시 우도면 상우목길 23-15,제주특별자치도 제주시 우도면 연평리 2137-1,4847876,5011033021,2023-05-18 22:37:00,1,30000,전기차 싸이드카 역삼륜오토바이 스쿠터;전기자전거 종일권 야간대여,
h_h000087,캐리어,1,3,2208183676,주식회사 지마켓,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2023-05-16 00:00:00,1,65040,나인티고 캐리어 다뉴브 기내용20인치,
h_h000095,모자,0,1,,이마트 양재점,서울 서초구 매헌로 16,,,,,1,2000,,1165010200
h_h000097,랜딩다이닝 저녁 뷔페 이용권,0,6,,신화월드 랜딩다이닝,신화역사로 304번길 38,,,,,2,466030,,5013031000
h_h000104,빵,0,4,,수더분,,,,,,1,18500,,1144010200
h_h000108,식당예약금,2,1,7978101854,주식회사 포잉코퍼레이션,서울 중구 동호로17길 13,서울 중구 신당동 821-3,4103094,1114016200,2023-06-02 21:16:00,1,15000,세컨드스토리,
h_h000120,아이스 아메리카노,0,1,,블루샥 문현지게골점,351-30,,,,,1,2000,,2629010900
h_h000150,삼겹살,0,3,,홈플러스 서귀포점,홈플러스 서귀포점,,,,,1,50000,,5013010500
