travel_id,travel_nm,traveler_id,travel_purpose,travel_start_ymd,travel_end_ymd,mvmn_nm,travel_persona,travel_mission,travel_mission_check
g_g005682,H01,g005682,2;6;1;22;26,2023-08-28,2023-08-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",2;6;1;22;26,6;22;26
h_h000001,H01,h000001,1;2;21,2023-04-29,2023-05-03,,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",1;2;21,2;4;23
h_h000008,H01,h000008,2;22;23;24,2023-06-06,2023-06-09,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",2;22;23;24,22;23;13
h_h000009,H01,h000009,10;28;5;9,2023-05-18,2023-05-22,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",10;28;5;9,28;10;7
h_h000010,H01,h000010,21;22;5,2023-05-28,2023-05-31,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",21;22;5,5;21;22
h_h000013,H01,h000013,10;2;5,2023-05-20,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",10;2;5,2;10;6
h_h000014,H01,h000014,2;22;5;23;24,2023-05-20,2023-05-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",2;22;5;23;24,2;5;22
h_h000017,H01,h000017,11;2;4;6,2023-05-24,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",11;2;4;6,3;23;22
h_h000019,H01,h000019,1;22;26;28;5,2023-05-25,2023-05-29,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;22;26;28;5,26;22;11
h_h000020,H01,h000020,11;2;5;6;7,2023-05-31,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",11;2;5;6;7,26;11;2
h_h000021,H01,h000021,21;22;24;6,2023-05-20,2023-05-21,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",21;22;24;6,6;21;22
