companion_seq,travel_id,rel_cd,companion_gender,companion_age_grp,companion_situation
1,h_h000001,1,1,6,1
2,h_h000001,2,1,2,1
2,h_h000008,2,2,2,1
1,h_h000008,1,1,5,1
1,h_h000009,1,1,4,1
2,h_h000010,2,1,2,1
1,h_h000010,1,1,5,1
3,h_h000010,2,2,2,1
2,h_h000013,2,1,1,1
1,h_h000013,1,1,4,1
2,h_h000014,2,1,1,1
4,h_h000014,2,2,1,1
6,h_h000014,3,2,7,3
1,h_h000014,1,1,4,1
3,h_h000014,2,2,1,1
5,h_h000014,3,1,6,3
7,h_h000014,5,2,3,3
1,h_h000017,1,1,4,1
1,h_h000020,1,1,5,1
2,h_h000020,2,1,1,1
1,h_h000025,8,2,3,3
1,h_h000028,3,1,8,1
2,h_h000028,3,2,7,1
1,h_h000030,3,2,7,3
2,h_h000031,7,1,3,1
1,h_h000031,7,1,3,1
3,h_h000031,7,1,3,1
1,h_h000032,1,1,4,1
1,h_h000037,1,2,4,1
1,h_h000042,3,1,7,1
3,h_h000042,5,1,4,1
2,h_h000042,3,2,7,1
1,h_h000043,1,1,4,1
3,h_h000043,2,2,1,1
2,h_h000043,2,1,1,1
2,h_h000047,3,1,8,1
1,h_h000047,2,2,1,1
3,h_h000047,3,2,7,1
1,h_h000049,1,1,7,1
1,h_h000052,1,1,5,1
3,h_h000052,5,2,5,2
5,h_h000052,3,2,7,3
2,h_h000052,2,1,1,1
4,h_h000052,3,1,7,3
1,h_h000058,1,1,5,1
3,h_h000058,2,1,1,1
2,h_h000058,2,2,1,1
1,h_h000065,7,2,4,1
2,h_h000068,2,1,1,1
1,h_h000068,1,1,4,1
3,h_h000068,2,2,1,1
1,h_h000069,1,1,5,1
2,h_h000078,7,2,4,1
4,h_h000078,7,2,4,1
1,h_h000078,1,1,4,1
3,h_h000078,7,2,4,1
1,h_h000087,2,2,2,1
2,h_h000087,2,2,2,1
1,h_h000091,8,1,4,1
1,h_h000093,1,1,4,1
2,h_h000093,2,1,1,1
1,h_h000097,1,2,4,1
3,h_h000097,2,1,1,1
5,h_h000097,3,2,7,2
2,h_h000097,2,2,1,1
4,h_h000097,3,1,8,2
2,h_h000098,9,2,3,1
4,h_h000098,9,2,3,1
1,h_h000098,9,2,4,1
3,h_h000098,9,2,3,1
1,h_h000103,3,2,7,1
1,h_h000104,1,1,4,1
3,h_h000104,2,1,1,1
2,h_h000104,2,1,1,1
2,h_h000107,2,2,1,1
1,h_h000107,1,2,4,1
2,h_h000111,7,2,4,1
1,h_h000111,2,1,1,1
3,h_h000111,11,1,1,1
1,h_h000121,3,1,6,1
2,h_h000121,5,2,4,1
1,h_h000124,9,2,4,3
2,h_h000125,3,2,7,1
4,h_h000125,2,2,1,1
1,h_h000125,1,1,5,1
3,h_h000125,2,1,1,1
1,h_h000126,3,2,6,1
1,h_h000137,7,2,3,1
1,h_h000138,1,2,5,1
1,h_h000141,7,2,5,1
3,h_h000141,7,2,5,1
5,h_h000141,7,2,5,1
2,h_h000141,7,2,5,1
4,h_h000141,7,2,5,1
1,h_h000147,1,2,5,1
2,h_h000150,11,2,2,1
1,h_h000150,2,2,2,1
