travel_id,trip_id,start_visit_area_id,end_visit_area_id,start_dt_min,end_dt_min,mvmn_cd_1,mvmn_cd_2
g_g005682,2308280003,,2308280003,,2023-08-28 14:00:00,9,11
g_g005682,2308280004,,2308280004,,2023-08-28 03:00:00,2,
g_g005682,2308280005,,2308280005,,2023-08-28 15:30:00,2,
g_g005682,2308280006,,2308280006,,2023-08-28 17:00:00,2,
g_g005682,2308280007,,2308280007,,2023-08-28 18:00:00,2,
g_g005682,2308280008,,2308280008,,2023-08-28 21:00:00,2,
g_g005682,2308280009,,2308280009,,2023-08-28 09:30:00,2,
g_g005682,2308290001,,2308290001,,2023-08-29 22:00:00,2,
g_g005682,2308290002,,2308290002,,2023-08-29 11:00:00,2,
g_g005682,2308290003,,2308290003,,2023-08-29 12:00:00,2,
g_g005682,2308290004,,2308290004,,2023-08-29 12:30:00,2,
g_g005682,2308290005,,2308290005,,2023-08-29 16:00:00,2,
g_g005682,2308290006,,2308290006,,2023-08-29 17:30:00,2,
g_g005682,2308290007,,2308290007,,2023-08-29 19:00:00,2,
g_g005682,2308290008,,2308290008,,2023-08-29 20:00:00,2,
g_g005682,2308300002,,2308300002,,2023-08-30 11:00:00,2,
g_g005682,2308300003,,2308300003,,2023-08-30 13:00:00,2,
g_g005682,2308300004,,2308300004,,2023-08-30 02:00:00,2,
h_h000001,2304290003,,2304290003,,2023-04-29 20:00:00,9,
h_h000001,2304290004,,2304290004,,2023-04-29 21:30:00,13,
h_h000001,2304300001,,2304300001,,2023-04-30 11:30:00,2,
h_h000001,2304300002,,2304300002,,2023-04-30 13:30:00,2,
h_h000001,2304300003,,2304300003,,2023-04-30 16:00:00,2,
h_h000001,2304300004,,2304300004,,2023-04-30 18:00:00,2,
h_h000001,2304300005,,2304300005,,2023-04-30 19:00:00,2,
h_h000001,2305010001,,2305010001,,2023-05-01 19:00:00,2,
h_h000001,2305010002,,2305010002,,2023-05-01 12:00:00,2,
h_h000001,2305010003,,2305010003,,2023-05-01 13:00:00,10,
h_h000001,2305010004,,2305010004,,2023-05-01 14:30:00,13,
h_h000001,2305010005,,2305010005,,2023-05-01 16:30:00,2,
h_h000001,2305020002,,2305020002,,2023-05-02 11:30:00,2,
h_h000008,2306060002,,2306060002,,2023-06-06 23:00:00,9,2
h_h000008,2306060004,,2306060004,,2023-06-06 16:30:00,9,
h_h000008,2306060005,,2306060005,,2023-06-06 17:30:00,2,
h_h000008,2306060006,,2306060006,,2023-06-06 18:30:00,15,
h_h000008,2306060007,,2306060007,,2023-06-06 20:00:00,2,
h_h000008,2306060008,,2306060008,,2023-06-06 21:00:00,2,
h_h000008,2306070001,,2306070001,,2023-06-07 12:30:00,2,
h_h000008,2306070002,,2306070002,,2023-06-07 14:00:00,2,
h_h000008,2306070003,,2306070003,,2023-06-07 16:00:00,2,
h_h000008,2306070004,,2306070004,,2023-06-07 17:00:00,2,
h_h000008,2306070005,,2306070005,,2023-06-07 19:00:00,2,
h_h000008,2306070006,,2306070006,,2023-06-07 20:00:00,2,
h_h000008,2306070007,,2306070007,,2023-06-07 21:30:00,2,
h_h000008,2306080002,,2306080002,,2023-06-08 11:30:00,2,
h_h000008,2306080003,,2306080003,,2023-06-08 12:30:00,2,
h_h000008,2306080004,,2306080004,,2023-06-08 13:00:00,2,
h_h000008,2306080005,,2306080005,,2023-06-08 14:00:00,2,
h_h000008,2306080006,,2306080006,,2023-06-08 16:30:00,2,
h_h000009,2305180002,,2305180002,,2023-05-18 09:00:00,9,5
h_h000009,2305180003,,2305180003,,2023-05-18 10:00:00,16,
h_h000009,2305180004,,2305180004,,2023-05-18 10:30:00,1,
h_h000009,2305180005,,2305180005,,2023-05-18 12:30:00,1,
h_h000009,2305180006,,2305180006,,2023-05-18 02:30:00,1,
