aihub_place_id,aihub_place_name,aihub_normalized_name,aihub_aliases,aihub_poi_ids,aihub_road_address,aihub_lot_address,aihub_longitude,aihub_latitude,aihub_visit_area_type_code,aihub_visit_count,aihub_identity_method,match_status,match_method,name_similarity,distance_m,confidence_score,tourapi_content_id,tourapi_place_name,tourapi_address1,tourapi_address2,tourapi_longitude,tourapi_latitude,tourapi_rag_eligible,merged_aihub_place_ids,merged_aihub_place_count,merged_mapping_conflict,exclusion_reason
4732,운진항,운진항,[],"[""POI01000TR018462V""]",,제주특별자치도 서귀포시 대정읍 하모리 646-21,126.257809900000,33.209558000000,9,9,POI_CONFIRMED,MATCHED,EXACT_NAME_COORD,1.0000,46.74,0.9794,2781327,운진항,제주특별자치도 서귀포시 대정읍 하모리,,126.258311014100,33.209527692900,1,[4732],1,false,TRANSPORT_TYPE:9
2049,목화휴게소,목화휴게소,[],"[""POI01000TR005403V""]",제주특별자치도 서귀포시 성산읍 해맞이해안로 2526,제주특별자치도 서귀포시 성산읍 시흥리 1270-1,126.901684900000,33.481820000000,11,4,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,1.31,1.0000,2845297,목화휴게소,제주특별자치도 서귀포시 성산읍 해맞이해안로 2526,,126.901693505600,33.481810631400,1,[2049],1,false,NON_TOURISM_KEYWORD:휴게소
102,CU 제주신화 빌라스점,cu제주신화빌라스점,"[""베이커리 카페 벨라""]","[""POI01000000EG7R1P""]",제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,제주특별자치도 서귀포시 안덕면 서광리 2518,126.320189800000,33.300922900000,10,2,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,252.92,0.9900,3305425,CU 제주신화빌라스점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,,126.317525210778,33.301385501192,1,[102],1,false,FRANCHISE:CU
6162,천진항,천진항,[],"[""POI01000TR002624V""]",,제주특별자치도 제주시 우도면 연평리,126.950186600000,33.492289500000,9,43,POI_CONFIRMED,REVIEW,FUZZY_NAME_REVIEW,0.7500,40.21,0.7873,2767884,우도천진항,제주특별자치도 제주시 우도면 연평리 1737-15,,126.950434879884,33.491993063930,1,[6162],1,false,TRANSPORT_TYPE:9
5849,제주항 국제여객터미널,제주항국제여객터미널,[],"[""POI01000TR031099V""]",제주특별자치도 제주시 임항로 191,제주특별자치도 제주시 건입동 908-18,126.543649700000,33.526047000000,9,16,POI_CONFIRMED,REVIEW,FUZZY_NAME_REVIEW,0.9091,46.08,0.9888,3307106,CU 제주항국제여객터미널,제주특별자치도 제주시 임항로 191 (건입동),,126.544078509439,33.525837378234,1,[5849],1,false,TRANSPORT_TYPE:9
2047,목화 식당 휴게소,목화식당휴게소,[],"[""POI010000008ZRMN3""]",제주특별자치도 서귀포시 성산읍 해맞이해안로 2526,제주특별자치도 서귀포시 성산읍 시흥리 1270-1,126.901684900000,33.481820000000,11,10,POI_CONFIRMED,REVIEW,FUZZY_NAME_REVIEW,0.8333,1.31,0.9494,2845297,목화휴게소,제주특별자치도 서귀포시 성산읍 해맞이해안로 2526,,126.901693505600,33.481810631400,1,[2047],1,false,NON_TOURISM_KEYWORD:휴게소
1776,마라도 가파도 정기여객선 대합실,마라도가파도정기여객선대합실,"[""마라도가 파도 정기여객선 대합실""]","[""POI01000TR000725V""]",제주특별자치도 서귀포시 대정읍 최남단해안로 120,제주특별자치도 서귀포시 대정읍 하모리 646-20,126.258333600000,33.210029900000,9,5,POI_CONFIRMED,REVIEW,FUZZY_NAME_REVIEW,0.8800,8.81,0.9825,2621914,마라도 가파도 정기여객선,제주특별자치도 서귀포시 대정읍 최남단해안로 120,,126.258388773400,33.210094298000,1,[1776],1,false,TRANSPORT_TYPE:9
2683,빽다방 호텔 더본 제주점,빽다방호텔더본제주점,[],"[""POI01000TR025542V""]",제주특별자치도 서귀포시 색달로 18,제주특별자치도 서귀포시 색달동 2138,126.406419600000,33.259555400000,11,5,POI_CONFIRMED,REVIEW,FUZZY_NAME_REVIEW,0.7500,69.22,0.8545,2858304,호텔 더본 제주,제주특별자치도 서귀포시 색달로 18 (색달동),,126.405706103500,33.259732903900,1,[2683],1,false,FRANCHISE:빽다방
2978,서귀포 매일 올레시장 공영주차장,서귀포매일올레시장공영주차장,[],"[""POI01000000BSCGYP""]",제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,126.563231500000,33.250155500000,9,3,POI_CONFIRMED,REVIEW,FUZZY_NAME_REVIEW,0.7826,178.56,0.7519,1013258,서귀포매일올레시장,제주특별자치도 서귀포시 서귀동,340,126.564111399700,33.248728181300,1,[2978],1,false,TRANSPORT_TYPE:9
3013,서귀포항,서귀포항,[],"[""POI01000TR029252V""]",,제주특별자치도 서귀포시 서귀동,126.566400800000,33.236799000000,9,3,POI_CONFIRMED,REVIEW,EXACT_NAME_REVIEW,1.0000,298.51,0.8687,2791505,서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14,(서귀동),126.564872659200,33.239159804000,1,[3013],1,false,TRANSPORT_TYPE:9
