aihub_place_id,aihub_place_name,aihub_normalized_name,aihub_aliases,aihub_poi_ids,aihub_road_address,aihub_lot_address,aihub_longitude,aihub_latitude,aihub_visit_area_type_code,aihub_visit_count,aihub_identity_method,match_status,match_method,name_similarity,distance_m,confidence_score,tourapi_content_id,tourapi_place_name,tourapi_address1,tourapi_address2,tourapi_longitude,tourapi_latitude,tourapi_rag_eligible
7232,함덕해수욕장,함덕해수욕장,[],"[""POI01000TR015417V""]",제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 1004-10,126.669238900000,33.543061600000,1,298,POI_CONFIRMED,MATCHED,EXACT_NAME_COORD,1.0000,123.99,0.9700,126451,함덕해수욕장 (함덕 서우봉 해변),제주특별자치도 제주시 조천읍 조함해안로 519-10,,126.668356772000,33.543900001300,1
7405,협재해수욕장,협재해수욕장,[],"[""POI01000TR022416V""]",제주특별자치도 제주시 한림읍 한림로 329-10,제주특별자치도 제주시 한림읍 협재리 2447,126.239157500000,33.393866100000,1,222,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,28.22,1.0000,127490,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,,126.239441896000,33.393776477000,1
3164,성산일출봉,성산일출봉,[],"[""POI01000TR014438V""]",,제주특별자치도 서귀포시 성산읍 성산리 78,126.940537500000,33.459135000000,1,172,POI_CONFIRMED,MATCHED,EXACT_NAME_COORD,1.0000,145.59,0.9700,126435,성산일출봉 [유네스코 세계자연유산],제주특별자치도 서귀포시 성산읍 일출로 284-12,,126.941515601200,33.458111117400,1
4372,오설록 티 뮤지엄,오설록티뮤지엄,[],"[""POI01000000CXMPBR""]",제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,126.289489300000,33.305913300000,3,160,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,20.80,1.0000,2660802,오설록 티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,,126.289392182586,33.306081842235,1
5000,이호 테우해수욕장,이호테우해수욕장,"[""이호테우해수욕장""]","[""POI01000TR022278V""]",,제주특별자치도 제주시 이호일동 1665-13,126.452690800000,33.497376800000,1,143,POI_CONFIRMED,MATCHED,EXACT_NAME_COORD,1.0000,43.48,0.9809,126448,이호테우해변,제주특별자치도 제주시 도리로,(이호일동),126.453157091300,33.497418378400,1
446,곽지해수욕장,곽지해수욕장,[],"[""POI01000TR015078V""]",,제주특별자치도 제주시 애월읍 곽지리 1565,126.304677600000,33.450640400000,1,121,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,275.85,0.9900,127870,곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,,126.303104577400,33.448535305400,1
657,금오름,금오름,[],"[""POI01000TR008585V""]",산1-1,제주특별자치도 제주시 한림읍 금악리 산 1-1,126.305838900000,33.354572300000,1,119,POI_CONFIRMED,MATCHED,EXACT_NAME_COORD,1.0000,106.58,0.9700,129699,금오름,제주특별자치도 제주시 한림읍 금악리,산1-1,126.305909192100,33.355528974300,1
638,금능해수욕장,금능해수욕장,[],"[""POI01000TR028179V""]",제주특별자치도 제주시 한림읍 금능길 119-10,제주특별자치도 제주시 한림읍 금능리 2026,126.235889900000,33.390448800000,1,116,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,19.51,1.0000,591866,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,,126.236024051900,33.390313740200,1
6727,판포 포구,판포포구,[],"[""POI01000TR023522V""]",,제주특별자치도 제주시 한경면 판포리,126.200023300000,33.365021600000,1,107,POI_CONFIRMED,MATCHED,EXACT_NAME_COORD,1.0000,59.04,0.9740,2785869,판포포구,제주특별자치도 제주시 한경면 판포리 2877-3,,126.199632100900,33.365440100200,1
3127,섭지코지,섭지코지,[],"[""POI01000TR028373V""]",제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 87,126.930609200000,33.423938100000,1,92,POI_CONFIRMED,MATCHED,EXACT_NAME_ADDRESS,1.0000,740.44,0.9900,127813,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,,126.928067408700,33.430250088000,1
