sgg_cd,sgg_cd1,sgg_cd2,sgg_cd3,sgg_cd4,sido_nm,sgg_nm,dong_nm,ri_nm
5011025633,50,110,256,33,제주특별자치도,제주시,구좌읍,평대리
5011025634,50,110,256,34,제주특별자치도,제주시,구좌읍,김녕리
5011025900,50,110,259,00,제주특별자치도,제주시,조천읍,
5011025921,50,110,259,21,제주특별자치도,제주시,조천읍,신촌리
5011025922,50,110,259,22,제주특별자치도,제주시,조천읍,와흘리
5011025923,50,110,259,23,제주특별자치도,제주시,조천읍,조천리
5011025924,50,110,259,24,제주특별자치도,제주시,조천읍,함덕리
5011025925,50,110,259,25,제주특별자치도,제주시,조천읍,신흥리
5011025926,50,110,259,26,제주특별자치도,제주시,조천읍,대흘리
5011025927,50,110,259,27,제주특별자치도,제주시,조천읍,북촌리
5011025928,50,110,259,28,제주특별자치도,제주시,조천읍,와산리
5011025929,50,110,259,29,제주특별자치도,제주시,조천읍,교래리
5011025930,50,110,259,30,제주특별자치도,제주시,조천읍,선흘리
5011031000,50,110,310,00,제주특별자치도,제주시,한경면,
5011032000,50,110,320,00,제주특별자치도,제주시,추자면,
5011033000,50,110,330,00,제주특별자치도,제주시,우도면,
5013000000,50,130,,,제주특별자치도,서귀포시,,
5013010100,50,130,101,00,제주특별자치도,서귀포시,서귀동,
5013010200,50,130,102,00,제주특별자치도,서귀포시,법환동,
5013010300,50,130,103,00,제주특별자치도,서귀포시,서호동,
5013010400,50,130,104,00,제주특별자치도,서귀포시,호근동,
5013010500,50,130,105,00,제주특별자치도,서귀포시,동홍동,
5013010600,50,130,106,00,제주특별자치도,서귀포시,서홍동,
5013010700,50,130,107,00,제주특별자치도,서귀포시,상효동,
5013010800,50,130,108,00,제주특별자치도,서귀포시,하효동,
5013010900,50,130,109,00,제주특별자치도,서귀포시,신효동,
5013011000,50,130,110,00,제주특별자치도,서귀포시,보목동,
5013011100,50,130,111,00,제주특별자치도,서귀포시,토평동,
5013011200,50,130,112,00,제주특별자치도,서귀포시,중문동,
5013011300,50,130,113,00,제주특별자치도,서귀포시,회수동,
5013011400,50,130,114,00,제주특별자치도,서귀포시,대포동,
5013011500,50,130,115,00,제주특별자치도,서귀포시,월평동,
5013011600,50,130,116,00,제주특별자치도,서귀포시,강정동,
5013011700,50,130,117,00,제주특별자치도,서귀포시,도순동,
5013011800,50,130,118,00,제주특별자치도,서귀포시,하원동,
5013011900,50,130,119,00,제주특별자치도,서귀포시,색달동,
5013012000,50,130,120,00,제주특별자치도,서귀포시,상예동,
5013012100,50,130,121,00,제주특별자치도,서귀포시,하예동,
5013012200,50,130,122,00,제주특별자치도,서귀포시,영남동,
5013025000,50,130,250,00,제주특별자치도,서귀포시,대정읍,
5013025021,50,130,250,21,제주특별자치도,서귀포시,대정읍,상모리
5013025022,50,130,250,22,제주특별자치도,서귀포시,대정읍,하모리
5013025023,50,130,250,23,제주특별자치도,서귀포시,대정읍,안성리
5013025024,50,130,250,24,제주특별자치도,서귀포시,대정읍,인성리
5013025025,50,130,250,25,제주특별자치도,서귀포시,대정읍,일과리
5013025026,50,130,250,26,제주특별자치도,서귀포시,대정읍,가파리
5013025027,50,130,250,27,제주특별자치도,서귀포시,대정읍,신평리
5013025028,50,130,250,28,제주특별자치도,서귀포시,대정읍,동일리
5013025029,50,130,250,29,제주특별자치도,서귀포시,대정읍,보성리
5013025030,50,130,250,30,제주특별자치도,서귀포시,대정읍,구억리
5013025031,50,130,250,31,제주특별자치도,서귀포시,대정읍,무릉리
5013025032,50,130,250,32,제주특별자치도,서귀포시,대정읍,영락리
5013025033,50,130,250,33,제주특별자치도,서귀포시,대정읍,신도리
5013025300,50,130,253,00,제주특별자치도,서귀포시,남원읍,
5013025321,50,130,253,21,제주특별자치도,서귀포시,남원읍,남원리
5013025322,50,130,253,22,제주특별자치도,서귀포시,남원읍,태흥리
5013025323,50,130,253,23,제주특별자치도,서귀포시,남원읍,한남리
5013025324,50,130,253,24,제주특별자치도,서귀포시,남원읍,수망리
5013025325,50,130,253,25,제주특별자치도,서귀포시,남원읍,의귀리
5013025326,50,130,253,26,제주특별자치도,서귀포시,남원읍,신흥리
5013025327,50,130,253,27,제주특별자치도,서귀포시,남원읍,위미리
5013025328,50,130,253,28,제주특별자치도,서귀포시,남원읍,하례리
5013025329,50,130,253,29,제주특별자치도,서귀포시,남원읍,신례리
5013025900,50,130,259,00,제주특별자치도,서귀포시,성산읍,
5013025901,50,130,259,01,제주특별자치도,서귀포시,성산읍,신양리
5013025921,50,130,259,21,제주특별자치도,서귀포시,성산읍,성산리
5013025922,50,130,259,22,제주특별자치도,서귀포시,성산읍,오조리
5013025923,50,130,259,23,제주특별자치도,서귀포시,성산읍,시흥리
5013025924,50,130,259,24,제주특별자치도,서귀포시,성산읍,고성리
5013025925,50,130,259,25,제주특별자치도,서귀포시,성산읍,수산리
5013025926,50,130,259,26,제주특별자치도,서귀포시,성산읍,온평리
5013025927,50,130,259,27,제주특별자치도,서귀포시,성산읍,신산리
5013025928,50,130,259,28,제주특별자치도,서귀포시,성산읍,삼달리
5013025929,50,130,259,29,제주특별자치도,서귀포시,성산읍,신풍리
5013025930,50,130,259,30,제주특별자치도,서귀포시,성산읍,신천리
5013025931,50,130,259,31,제주특별자치도,서귀포시,성산읍,난산리
5013031000,50,130,310,00,제주특별자치도,서귀포시,안덕면,
5013032000,50,130,320,00,제주특별자치도,서귀포시,표선면,
