_query_depth,_query_lclsSystm1,_query_lclsSystm2,code,name,rnum
1,,,AC,숙박,1
1,,,C01,추천코스,2
1,,,EV,축제/공연/행사,3
1,,,EX,체험관광,4
1,,,FD,음식,5
1,,,HS,역사관광,6
1,,,LS,레저스포츠,7
1,,,NA,자연관광,8
1,,,SH,쇼핑,9
1,,,VE,문화관광,10
